Employee_ID;First Name;Last Name;Gender;State;City;Education Level;Birthdate;Hiredate;Termdate;Termination_Reason;Department;Job Title;Salary;Salary_Band;Performance Rating;Engagement_Score;Last_Promotion_Date;Remote_Eligible;Overtime
00-95822412;Danielle;Johnson;Female;New York;New York City;High School;13/02/1980;16/04/2016;05/07/2021;Involuntary - Performance;Customer Service;Help Desk Technician;95641;Band 3 (50-75%);Needs Improvement;;;No;No
00-42868828;John;Taylor;Male;North Carolina;Charlotte;Bachelor;22/09/1987;09/02/2017;14/06/2019;Involuntary - Redundancy;IT;System Administrator;124947;Band 4 (Top 25%);Good;;;Yes;No
00-83197857;Erica;Mcclain;Male;New York;New York City;Bachelor;19/05/1994;03/02/2016;06/03/2021;Voluntary - Better Opportunity;Operations;Logistics Coordinator;75500;Band 3 (50-75%);Good;;;No;Yes
00-13999315;Brittany;Johnson;Male;New York;New York City;Bachelor;18/04/1980;06/02/2016;06/11/2018;Voluntary - Career Change;Operations;Inventory Specialist;82371;Band 4 (Top 25%);Good;;;No;Yes
00-90801586;Jeffery;Wagner;Female;New York;New York City;Bachelor;07/04/1985;11/01/2015;;;Operations;Operations Analyst;74031;Band 1 (Bottom 25%);Satisfactory;2.8;09/04/2017;No;No
00-97226012;Anna;Baldwin;Female;New York;New York City;Bachelor;31/05/1988;30/09/2022;29/03/2023;Voluntary - Better Opportunity;Operations;Operations Analyst;70931;Band 1 (Bottom 25%);Good;;;No;No
00-70291817;Amy;Robinson;Male;New York;New York City;Bachelor;16/07/1991;16/08/2020;12/02/2021;Voluntary - Better Opportunity;Finance;Accountant;64444;Band 1 (Bottom 25%);Good;;;Yes;No
00-31429110;Joshua;Booth;Female;New York;New York City;Bachelor;19/09/1995;22/10/2022;20/04/2023;Voluntary - Career Change;Finance;Accounts Payable Specialist;58679;Band 1 (Bottom 25%);Good;;;No;No
00-30868105;Linda;Wolfe;Male;New York;New York City;High School;11/05/2002;13/05/2017;15/11/2021;Voluntary - Career Change;Operations;Inventory Specialist;68052;Band 2 (25-50%);Needs Improvement;;;No;No
00-22448136;Joshua;Lewis;Female;New York;New York City;Bachelor;21/11/1980;24/10/2018;30/03/2022;Voluntary - Career Change;Operations;Logistics Coordinator;62867;Band 1 (Bottom 25%);Good;;;No;Yes
00-56164955;Matthew;Davis;Female;New York;New York City;High School;08/02/1994;07/02/2021;06/08/2021;Voluntary - Career Change;Marketing;SEO Specialist;78190;Band 2 (25-50%);Needs Improvement;;;Yes;No
00-71662963;Michael;Cooper;Female;New York;New York City;High School;26/04/1974;12/04/2020;28/01/2024;Involuntary - Performance;HR;Recruiter;75536;Band 3 (50-75%);Needs Improvement;;;Yes;No
00-84093639;Lindsay;Blair;Male;New York;New York City;Bachelor;26/05/1967;28/07/2017;24/01/2018;Voluntary - Career Change;Operations;Operations Analyst;80886;Band 2 (25-50%);Good;;;No;Yes
00-58537831;David;Nielsen;Female;New York;New York City;High School;26/07/2001;31/01/2020;29/07/2020;Involuntary - Performance;Customer Service;Help Desk Technician;65020;Band 1 (Bottom 25%);Needs Improvement;;;No;Yes
00-16150444;Andrea;Calderon;Male;Michigan;Grand Rapids;Bachelor;22/05/1987;29/08/2022;25/02/2023;Voluntary - Better Opportunity;IT;IT Support Specialist;58051;Band 1 (Bottom 25%);Good;;;No;Yes
00-41244663;Nicole;Ward;Male;New York;New York City;Bachelor;13/12/1963;16/03/2023;12/09/2023;Involuntary - Redundancy;Operations;Logistics Coordinator;65227;Band 1 (Bottom 25%);Satisfactory;;;No;No
00-70855700;Janet;Williams;Male;Michigan;Grand Rapids;Bachelor;26/12/2002;30/03/2021;26/09/2021;Voluntary - Career Change;Operations;Inventory Specialist;59050;Band 1 (Bottom 25%);Good;;;No;No
00-59684848;Kendra;Galloway;Female;New York;New York City;PhD;01/04/1963;29/11/2018;08/12/2019;Voluntary - Better Opportunity;Sales;Sales Manager;108326;Band 1 (Bottom 25%);Excellent;;;No;No
00-96977837;Jesse;Garcia;Male;New York;New York City;Bachelor;03/02/1963;17/04/2016;29/01/2023;Involuntary - Redundancy;Customer Service;Customer Service Representative;79798;Band 4 (Top 25%);Good;;;No;No
00-81691040;Shawn;Flowers;Male;Michigan;Warren;Bachelor;28/06/1959;05/03/2022;01/09/2022;Voluntary - Better Opportunity;IT;IT Support Specialist;65132;Band 2 (25-50%);Excellent;;;No;No
00-60929647;Mitchell;Clark;Male;New York;New York City;Bachelor;14/09/1973;14/04/2017;16/06/2024;Voluntary - Career Change;Customer Service;Support Specialist;80433;Band 4 (Top 25%);Satisfactory;;;No;No
